smiles,atoms,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18
[H]C([H])([H])[H],6 1 1 1 1,0.0,13.210000038146973,-10.549854278564453,3.186453342437744,13.736308097839355,35.36410140991211,1.2176822423934937,-1101.48779296875,-1101.4097900390625,-1101.384033203125,-1102.02294921875,6.468999862670898,-17.172182083129883,-17.286823272705078,-17.38965606689453,-16.151918411254883,157.71180725097656,157.70997619628906,157.7069854736328
[H]N([H])[H],7 1 1 1,1.625599980354309,9.460000038146973,-6.993326187133789,2.255823850631714,9.249149322509766,26.156299591064453,0.9349287748336792,-1538.147705078125,-1538.06982421875,-1538.044189453125,-1538.666748046875,6.315999984741211,-12.005854606628418,-12.082128524780273,-12.159273147583008,-11.246005058288574,293.6097412109375,293.5411071777344,191.3939666748047
[H]O[H],8 1 1,1.851099967956543,6.309999942779541,-7.967494010925293,1.869422197341919,9.836915969848633,19.000200271606445,0.5816434025764465,-2079.077880859375,-2079.000732421875,-2078.97509765625,-2079.55810546875,6.001999855041504,-9.240362167358398,-9.27881145477295,-9.33021354675293,-8.733848571777344,799.588134765625,437.90386962890625,282.9454650878906
[H]C#C[H],6 6 1 1,0.0,16.280000686645508,-7.741639137268066,1.3768961429595947,9.118535041809082,59.52479934692383,0.7303807735443115,-2103.66943359375,-2103.590576171875,-2103.564697265625,-2104.1865234375,8.574000358581543,-16.716962814331055,-16.7922306060791,-16.869346618652344,-15.86263370513916,0.0,35.61003494262695,35.61003494262695
[H]C#N,6 7 1,2.893699884414673,12.989999771118164,-9.80698299407959,0.5197374224662781,10.329442024230957,48.74760055541992,0.4517362117767334,-2541.866943359375,-2541.79833984375,-2541.772705078125,-2542.3935546875,6.2779998779296875,-13.088188171386719,-13.135290145874023,-13.186666488647461,-12.520095825195312,0.0,44.5938835144043,44.5938835144043
[H]C([H])=O,6 8 1 1,2.1089000701904297,14.180000305175781,-7.265439510345459,-1.1047823429107666,6.1579365730285645,59.98910140991211,0.7239044904708862,-3115.2578125,-3115.1796875,-3115.154052734375,-3115.846923828125,6.413000106811523,-15.557186126708984,-15.633323669433594,-15.710441589355469,-14.763946533203125,285.4884033203125,38.9822998046875,34.298919677734375
[H]C([H])([H])C([H])([H])[H],6 6 1 1 1 1 1 1,0.0,23.950000762939453,-9.211053848266602,2.83270525932312,12.0437593460083,109.50309753417969,2.028391122817993,-2170.4931640625,-2170.398193359375,-2170.37255859375,-2171.1220703125,10.097999572753906,-29.088157653808594,-29.301603317260742,-29.48158073425293,-27.18616485595703,80.46224975585938,19.906490325927734,19.906330108642578
[H]OC([H])([H])[H],6 8 1 1 1 1,1.5257999897003174,16.969999313354492,-7.219180583953857,2.1333727836608887,9.352553367614746,83.79399871826172,1.3934406042099,-3147.78955078125,-3147.699462890625,-3147.673583984375,-3148.408203125,8.75100040435791,-20.862781524658203,-21.00365447998047,-21.1322021484375,-19.519245147705078,127.83496856689453,24.858720779418945,23.97871971130371
[H]C#CC([H])([H])[H],6 6 6 1 1 1 1,0.7156000137329102,28.780000686645508,-7.09945011138916,1.668057918548584,8.767508506774902,177.19630432128906,1.5077829360961914,-3173.107421875,-3172.998779296875,-3172.972900390625,-3173.7666015625,12.482000350952148,-29.06559944152832,-29.226581573486328,-29.380817413330078,-27.37781524658203,160.28041076660156,8.593230247497559,8.593210220336914
[H]C([H])([H])C#N,6 6 7 1 1 1,3.8266000747680664,24.450000762939453,-8.881796836853027,1.0231480598449707,9.90494441986084,160.72230529785156,1.2322947978973389,-3611.44482421875,-3611.347412109375,-3611.321533203125,-3612.09765625,10.286999702453613,-25.576690673828125,-25.7103271484375,-25.83884620666504,-24.159278869628906,159.03567504882812,9.223270416259766,9.22323989868164
[H]C(=O)C([H])([H])[H],6 6 8 1 1 1 1,2.56820011138916,25.110000610351562,-6.911692142486572,-0.538785457611084,6.372906684875488,166.97279357910156,1.5062862634658813,-4184.77392578125,-4184.66796875,-4184.64306640625,-4185.45166015625,11.218999862670898,-27.98410987854004,-28.148195266723633,-28.30242919921875,-26.303726196289062,57.22433853149414,10.111220359802246,9.07367992401123
[H]C(=O)N([H])[H],7 6 8 1 1 1,3.728600025177002,21.56999969482422,-6.919855117797852,0.8217839002609253,7.741639137268066,145.30780029296875,1.2321043014526367,-4622.1474609375,-4622.04150390625,-4622.01611328125,-4622.822265625,10.890000343322754,-23.531240463256836,-23.65673828125,-23.785228729248047,-22.12468147277832,73.84719848632812,11.347929954528809,9.836389541625977
[H]C([H])([H])C([H])([H])C([H])([H])[H],6 6 6 1 1 1 1 1 1 1 1,0.059700001031160355,34.75,-8.789278030395508,2.5823605060577393,11.371638298034668,227.13609313964844,2.807725191116333,-3239.582763671875,-3239.458984375,-3239.433349609375,-3240.28173828125,14.84000015258789,-41.08851623535156,-41.38868713378906,-41.64577865600586,-38.28070831298828,29.450180053710938,8.377010345458984,7.420760154724121
[H]OC([H])([H])C([H])([H])[H],6 6 8 1 1 1 1 1 1,1.413100004196167,27.8700008392334,-7.126662254333496,2.171468734741211,9.29813003540039,193.1658935546875,2.1702170372009277,-4217.02294921875,-4216.9052734375,-4216.87939453125,-4217.71435546875,13.545999526977539,-33.00659942626953,-33.23590850830078,-33.44154357910156,-30.760297775268555,35.09545135498047,9.368599891662598,8.149700164794922
[H]C([H])([H])OC([H])([H])[H],6 8 6 1 1 1 1 1 1,1.1502000093460083,28.1299991607666,-6.870874881744385,2.47623610496521,9.347110748291016,187.10150146484375,2.1642303466796875,-4216.68603515625,-4216.568359375,-4216.54296875,-4217.376953125,12.934000015258789,-32.66999435424805,-32.899383544921875,-33.10502243041992,-30.422847747802734,39.37691116333008,10.040329933166504,8.90353012084961
[H]C1([H])C([H])([H])C1([H])[H],6 6 6 1 1 1 1 1 1,0.0005000000237487257,30.81999969482422,-7.858648300170898,2.8354263305664062,10.694074630737305,155.8144989013672,2.2104079723358154,-3206.176025390625,-3206.084228515625,-3206.05859375,-3206.837158203125,11.041000366210938,-34.90796661376953,-35.1630744934082,-35.368736267089844,-32.64207458496094,20.158519744873047,20.15302085876465,12.589099884033203
[H]C1([H])OC1([H])[H],6 6 8 1 1 1 1,1.7675000429153442,24.040000915527344,-7.298093795776367,2.8354263305664062,10.133520126342773,129.89100646972656,1.5589131116867065,-4183.54833984375,-4183.46240234375,-4183.4365234375,-4184.20361328125,9.175999641418457,-26.758237838745117,-26.942241668701172,-27.096473693847656,-25.055376052856445,25.773849487304688,22.121089935302734,14.180660247802734
